Symbol,Company,Sector,MarketCap,Payout Ratio,RevenueGrowth,OperatingMargin,BookValue,FreeCashFlow,TrailingPE,ForwardPE,EPS,ROE,ProfitMargin,DebttoEquity,revenue,gross_profits,ebitda,net_income,eps_forward,eps_growth,dividend_yield,dividend_rate,target_mean_price,target_high_price,target_low_price,Fair Value (Trailing),Fair Value (Forward),Last Open,Last Close,52W High,52W Low,MA10,MA14,MA20,MA30,MA50,MA60,MA75,MA100,MA150,MA200,MA250
ALB,Albemarle Corporation,Basic Materials,14936994816,0.58,-0.04,-0.02,65.94,-155030256,,68.97,-1.59,0,0,36.66,4946415104,612798016,696873984,-187907008,1.84,,1.28,1.62,105.1,200,58,,126.91,124.08,126.91,111.49,48.84,119.58,115.05,108.75,104.52,97.86,94.54,91.91,87.31,78.09,75.96,78.83
ALGN,"Align Technology, Inc.",Healthcare,10672167936,0,0.02,0.16,54.93,588808768,28.59,14.35,5.15,0.1,0.1,3.06,3982621952,2758157056,810888000,378398016,10.26,-0.5,,,184.07,220,150,147.23,147.23,147.35,147.23,246.19,122,138.88,139.15,138.48,136.95,133.85,133.86,135.55,145.85,158.15,161.89,173.85
ALL,The Allstate Corporation,Financial Services,56355885056,0.13,0.04,0.24,97.34,6504249856,6.93,11.24,30.84,0.34,0.13,29.43,66845999104,18852999168,10065000448,8261000192,19.03,2.22,1.87,4,236.6,300,157,213.87,213.87,212.6,213.87,215.7,173.88,211.95,210.16,205.25,201.32,204.36,203.7,204.02,202.32,201.39,199.85,197.89
ALLE,Allegion plc,Industrials,14252913664,0.27,0.11,0.22,22.63,512487488,22.42,21.27,7.39,0.36,0.16,116.08,3979699968,1795500032,961600000,640400000,7.79,0.1,1.23,2.04,183.09,203,165,165.67,165.67,165.73,165.67,180.68,116.14,162.39,163.86,164.31,167.28,170.94,171.42,171.01,167.86,158.93,150.93,147.22
AMAT,"Applied Materials, Inc.",Technology,1.99137E+11,0.2,-0.04,0.28,25.71,3726625024,28.9,25.8,8.65,0.36,0.25,32.11,28367998976,13808000000,8904999936,6998000128,9.69,0.14,0.74,1.84,241.69,300,170,249.97,249.97,242.83,249.97,242.5,123.04,230.36,230.45,231.58,230.21,222.03,212.81,203.21,199.33,188.5,179.16,178.07
AMCR,Amcor plc,Consumer Cyclical,19898062848,1.69,0.71,0.09,5.08,399375008,28.73,10.91,0.3,0.07,0.03,134.68,17400999936,3299000064,2472999936,582000000,0.79,-0.14,6.03,0.52,10.41,12,9,8.62,8.62,8.51,8.62,10.43,7.67,8.48,8.47,8.31,8.27,8.19,8.21,8.3,8.62,8.81,9,9.11
AMD,"Advanced Micro Devices, Inc.",Technology,3.48792E+11,0,0.36,0.14,37.34,3245499904,112.17,42.01,1.91,0.05,0.1,6.37,32027000832,16480000000,6054000128,3131000064,5.1,0.6,,,282.4,380,178,214.24,214.24,210.05,214.24,267.08,76.48,223.44,229.16,236.15,238.98,217.6,207.58,199.87,190.82,166.46,149.98,144.69
AME,"AMETEK, Inc.",Industrials,45331640320,0.19,0.11,0.26,45.73,1368788736,30.96,26.89,6.34,0.15,0.21,26.09,7164270080,2570373888,2267057920,1468797952,7.3,0.09,0.63,1.24,219.94,246,180,196.28,196.28,196.95,196.28,204.15,144.53,193.39,194.48,195.76,192.6,189.66,189.41,188.46,186.49,183.2,180.75,181.37
AMGN,Amgen Inc.,Healthcare,1.85544E+11,0.73,0.12,0.34,17.86,11408624640,26.67,16.67,12.92,0.82,0.19,567.49,35970998272,25198000128,16481000448,7005000192,20.67,0.14,2.76,9.52,322.88,400,180,344.57,344.57,341.53,344.57,330.26,247.06,338,334.95,324.76,314.3,302.98,298.55,296.35,295.42,289.52,290.94,285.85
AMP,"Ameriprise Financial, Inc.",Financial Services,42749329408,0.17,0.07,0.37,69.31,2837250048,12.47,11.74,36.37,0.6,0.2,54.22,18513000448,10508999680,,3625999872,38.63,0.87,1.41,6.4,532.18,594,434,453.47,453.47,451.96,453.47,576.69,393.57,449.24,453.35,453.27,460.55,471.95,475.29,482.06,491.4,496.23,494.31,503.1
AMT,American Tower Corporation,Real Estate,84846895104,1.07,0.08,0.45,8.44,4248437504,28.91,26.69,6.27,0.29,0.28,418.09,10454700032,7766300160,6728300032,2938400000,6.79,,3.75,6.8,229.47,260,200,181.24,181.24,180.02,181.24,232.28,168.28,180.65,180.88,180.26,183.27,185.81,187.08,190.37,196.82,202.36,202.83,199.14
AMZN,"Amazon.com, Inc.",Consumer Cyclical,2.44977E+12,0,0.13,0.11,34.59,26080000000,32.37,37.26,7.08,0.24,0.11,43.41,6.9133E+11,3.45982E+11,1.39697E+11,76482002944,6.15,0.36,,,294.65,360,245,229.16,229.16,230.74,229.16,258.6,161.38,227.33,232.82,236.15,231.3,227.53,228.4,228.3,227.45,220.43,214.66,217.04
ANET,Arista Networks Inc,Technology,1.60748E+11,0,0.28,0.42,9.46,3268608000,48.54,13.12,2.63,0.32,0.4,,8448346112,5435902976,3671173888,3356553984,9.73,0.15,,,164.08,185,140,127.65,127.65,127.47,127.65,164.94,59.43,124.91,127.92,134.63,140.1,142.79,142.98,141.4,135.7,121.44,111.95,112.11
AON,Aon plc,Financial Services,76032090112,0.23,0.07,0.2,36.89,1896499968,28.25,20.28,12.48,0.38,0.16,214.88,17027999744,7961999872,5432000000,2718000128,17.39,0.34,0.85,2.98,400.5,449,325,352.61,352.61,351.49,352.61,411.24,322.37,348.45,348.26,345.52,343.42,349.18,352.07,355.72,356.44,356.45,364.19,364.46
AOS,A. O. Smith Corporation,Industrials,9294795776,0.37,0.04,0.19,13.25,454037504,17.88,16.3,3.71,0.28,0.14,12.06,3830099968,1475100032,784300032,530500000,4.07,0.15,2.08,1.38,78.5,100,62,66.33,66.33,65.18,66.33,76.52,57.94,64.53,64.99,65.23,66.27,68.22,68.98,69.53,69.61,68.3,67.36,67.6
APA,APA Corporation,Energy,8826592256,0.24,-0.16,0.27,16.77,3169250048,5.9,8.97,4.18,0.27,0.16,66.89,9376000000,6239000064,5831000064,1508999936,2.75,,4.05,1,25.89,37,16,24.67,24.67,24.17,24.67,25.51,13.04,24.33,24.28,23.75,23.48,23.58,23.45,23.04,22.02,20.52,20.02,20.34
APD,"Air Products and Chemicals, Inc.",Basic Materials,57641967616,1.01,-0.01,-0.89,67.5,-6595550208,,18.28,-1.74,-0.02,-0.03,106.23,12037300224,3781299968,751600000,-386500000,14.17,-1,2.76,7.16,308.62,350,260,,258.96,258.3,258.96,334.71,235.55,256.38,257.55,253.47,253.54,260.12,264.71,269.99,274.94,274.5,277.62,283.11
APH,Amphenol Corporation,Technology,1.69801E+11,0.22,0.53,0.27,10.23,2328112384,46.24,64.22,3,0.35,0.18,63.99,20973500416,7615099904,6062700032,3820999936,2.16,1.02,0.72,1,148.15,163,115,138.72,138.72,138.92,138.72,142.5,56.27,134.68,136.79,137.44,135.5,130.74,128.34,124.62,119.54,109.29,98.33,92.9
APO,"Apollo Global Management, Inc.",Financial Services,75611652096,0.28,0.26,0.3,37.46,,18.96,15.36,6.87,0.17,0.16,94.6,27217000448,10880000000,,4064000000,8.48,1.15,1.57,2.04,159.87,180,136,130.27,130.27,131,130.27,187.59,101.84,128.19,129.26,128.58,127.01,128.8,129.92,131.09,134.83,134.93,135.2,141.52
APP,AppLovin Corporation,Communication Services,1.9834E+11,0,0.68,0.77,4.35,2504631296,68.98,113.64,8.5,2.42,0.45,238.27,6307449856,5026252800,3913881088,2916342016,5.16,0.96,,,719.74,860,394,586.37,586.37,565.76,586.37,745.61,200.5,545.25,564.53,582.03,588,609.2,601.32,571.15,523.2,465.86,426.35,410.65
APTV,Aptiv PLC,Consumer Cyclical,16730486784,0,0.07,0.11,42.86,1664000000,58.2,11.01,1.32,0.03,0.01,85.42,20152000512,3911000064,3207000064,295000000,6.98,,,,98.24,109,60,76.83,76.83,76,76.83,88.8,47.19,75.74,77.71,78.98,80.96,82.59,82.53,81.49,78.28,74.2,70.77,68.65
ARE,"Alexandria Real Estate Equities, Inc.",Real Estate,9258237952,6.89,-0.05,0.19,97.68,1430852992,,15.57,-2.47,-0.01,-0.13,66.08,3058394880,2127901056,1958758016,-421068992,3.44,,9.86,5.28,68.5,91,52,,53.57,52.29,53.57,107.86,52.94,51.29,52.24,53.16,59.96,68.28,70.79,72.21,73.31,72.3,76.21,79.94
ATO,Atmos Energy Corporation,Utilities,28415989760,0.47,0.12,0.31,83.92,-1818661632,23.59,24.61,7.45,0.09,0.25,68.62,4702754816,2733758976,2322277888,1198267008,7.14,0.26,2.28,4,174.36,193,159,175.74,175.74,173.31,175.74,180.65,133.82,174.45,175.11,174.27,174.47,172.55,171.11,169.8,166.28,162.02,158.62,154.59
AVB,"AvalonBay Communities, Inc.",Real Estate,25895200768,0.85,0.04,0.29,84.41,1317851776,22.18,32.83,8.2,0.1,0.38,73.17,3065607936,1944902016,1868945024,1166467968,5.54,0.02,3.85,7,205.88,235,175,181.87,181.87,181,181.87,231.37,166.73,178.82,178.52,177.61,180.48,183.97,185.35,186.26,188.22,192.84,196.26,199.98
AVGO,Broadcom Inc.,Technology,1.87747E+12,0.59,0.16,0.32,59.22,23096750080,101.94,64.44,3.9,0.27,0.32,166.03,59925999616,46253998080,32746000384,18812999680,6.17,1.88,0.59,2.36,401.28,535,273.4,397.57,397.57,385.55,397.57,386.48,137.54,356.76,355.9,357.89,357.1,349.93,349.55,339.56,327.13,297.31,269.95,258.99
AVY,Avery Dennison Corporation,Consumer Cyclical,13311812608,0.41,0.01,0.13,28.51,666062528,19.53,16.37,8.82,0.3,0.08,171.01,8769999872,2504800000,1436099968,695600000,10.52,-0.05,2.18,3.76,202.36,218,180,172.22,172.22,169.86,172.22,203.88,155.31,170.4,171.43,172.3,172.38,168.06,167.8,168.87,170.22,172.13,172.98,176.02
AWK,"American Water Works Company, Inc.",Utilities,25336797184,0.56,0.1,0.43,55.9,-1447250048,22.82,22.78,5.69,0.1,0.22,140.98,5070000128,3080000000,2760999936,1112000000,5.7,0.08,2.55,3.31,142.09,157,117,129.85,129.85,131,129.85,153.69,116.64,130.54,130.12,129.32,132.83,134.67,135.29,136.82,137.81,138.59,138.54,135.52
AXON,"Axon Enterprise, Inc.",Industrials,42072690688,0,0.31,0,38.38,248673872,169.26,86,3.15,0.1,0.1,69.33,2557957120,1543895040,71199000,257095008,6.2,,,,822.5,925,610,533.17,533.17,533.59,533.17,885.92,469.24,534.8,548.35,590.25,631.16,667.79,680.65,696.66,713.68,720.81,679.47,669.19
AXP,American Express Company,Financial Services,2.5328E+11,0.16,0.12,0.22,47.05,,24.44,24.07,14.89,0.34,0.16,185.27,65294000128,41876000768,,10410999808,15.12,0.19,0.87,3.16,351.87,400,280,363.97,363.97,362.71,363.97,370,219.32,352.77,357.65,359.01,356.67,346.98,343.59,337.93,329.88,317.93,305.99,305.52
AZO,"AutoZone, Inc.",Consumer Cyclical,66125885440,0,0.01,0.19,-204.88,1087323008,27.4,22.76,144.83,,0.13,,18938716160,9966474240,4223354880,2498246912,174.32,-0.06,,,4579.13,4900,3000,3967.95,3967.95,3932.16,3967.95,4388.11,3036.4,3868.31,3833.88,3782.1,3821.13,3949.03,4000.96,4025.98,3979.03,3888.15,3811.44,3708.35
BA,The Boeing Company,Industrials,1.42077E+11,0,0.3,-0.2,-10.87,-4762874880,,397.7,-13.7,,-0.12,,80756998144,965000000,-6153999872,-10167000064,0.47,,,,245,285,150,,186.92,184,186.92,242.69,128.88,186.38,188.85,192.09,200.54,206.9,209.58,214.03,217.58,212.43,201.04,195.14
BAC,Bank of America Corporation,Financial Services,3.92494E+11,0.29,0.13,0.35,37.95,,14.48,14.48,3.66,0.1,0.29,,1.01445E+11,1.01445E+11,,28253999104,3.66,0.32,2.11,1.12,58.9,70,51,52.99,52.99,52.7,52.99,54,32.69,52.06,52.5,52.71,52.45,51.86,51.62,51.05,49.95,47.92,46.1,45.9
BALL,Ball Corporation,Consumer Cyclical,13506750464,0.31,0.1,0.12,20.19,128125000,19.31,14.06,2.57,0.12,0.05,138.43,12693999616,2520999936,1976000000,712000000,3.53,0.81,1.61,0.8,60.15,72,48,49.63,49.63,49.16,49.63,62.43,43.18,48.38,48.06,47.97,48.33,48.53,48.84,49.6,51.44,52.25,51.68,52.34
BAX,Baxter International Inc.,Healthcare,9720795136,3.08,0.05,0.1,14.09,2620375040,,6.57,-0.7,-0.05,-0.03,134.63,11022999552,4180999936,2074000000,-355000000,2.88,,2.75,0.52,24.07,42,19,,18.91,18.59,18.91,37.27,17.47,18.23,18.21,18.23,19.8,20.98,21.48,22.01,23.08,25.51,27.13,27.79
BBY,"Best Buy Co., Inc.",Consumer Cyclical,17114855424,1.25,0.02,0.04,12.59,982249984,26.73,11.84,3.03,0.22,0.02,154.28,41825001472,9409000448,2607000064,645000000,6.84,-0.48,4.69,3.8,84.14,99,60,80.98,80.98,80.66,80.98,90.84,53.55,76.18,76.74,78.01,79.33,77.69,77.27,76.31,74.04,72.13,72.11,74.22
BDX,"Becton, Dickinson and Company",Healthcare,55577063424,0.71,0.08,0.18,88.96,3604875008,33.32,12.33,5.82,0.07,0.08,78.85,21839998976,10359000064,6222000128,1678000000,15.73,0.25,2.17,4.2,201.49,270,183,193.9,193.9,195.08,193.9,248,161.47,192.33,190.28,186.6,186.66,187.25,187.53,188.77,186.62,182.12,190.93,198.3
BEN,"Franklin Resources, Inc.",Financial Services,11732257792,1.41,0.06,0.18,23.18,688124992,24.75,8.66,0.91,0.04,0.06,23.7,8770700288,3280399872,1701299968,471700000,2.6,,5.68,1.28,24.73,31,20,22.52,22.52,22.31,22.52,25.72,15.81,21.86,22.09,22.3,22.45,22.78,23.04,23.43,23.67,22.9,21.82,21.4
BG,Bunge Global SA,Consumer Defensive,19301984256,0.31,0.72,0.02,81.53,-7760625152,10.86,10.37,8.88,0.1,0.02,102.82,60109000704,3420999936,2084000000,1326000000,9.3,-0.46,2.9,2.8,103.78,120,80,96.48,96.48,96.52,96.48,99.55,65.6,94.86,94.89,94.61,94.96,89.48,88.21,87.07,84.46,82.28,79.85,79.23
BIIB,Biogen Inc.,Healthcare,26691012608,0,0.03,0.31,124.11,2137600000,16.59,10.92,10.97,0.09,0.16,36.19,10065899520,7706800128,3409299968,1608499968,16.66,0.19,,,178.07,260,130,181.94,181.94,181.96,181.94,175.86,110.04,171.79,167.91,163.28,157.96,153.02,151.41,148.55,143.85,138.19,137.13,139.57
BK,The Bank of New York Mellon Corporation,Financial Services,78556774400,0.28,0.1,0.37,55.99,,16.07,17.06,6.93,0.12,0.27,,19733999616,19733999616,,5008999936,6.53,0.25,1.9,2.12,118.03,133,90,111.39,111.39,109.6,111.39,110.33,69.31,108.48,109.23,108.91,108.25,107.81,107.31,106.39,104.45,98.73,94.35,91.36
BKNG,Booking Holdings Inc.,Consumer Cyclical,1.59192E+11,0.24,0.13,0.45,-146.6,6635874816,31.95,23.41,153.74,,0.19,,26038999040,22652000256,9818999808,5043999744,209.85,0.14,0.78,38.4,6207.21,7447,5300,4911.85,4911.85,4899.63,4911.85,5829.37,4082.14,4844.6,4897.9,4928.05,4997.74,5144.94,5208.17,5283.8,5360.13,5361.85,5189.81,5137.1
BKR,Baker Hughes Company,Energy,48874909696,0.31,0.01,0.14,18.41,790000000,17.08,19.27,2.9,0.17,0.1,33.04,27711000576,5917000192,4697999872,2891000064,2.57,-0.21,1.86,0.92,52.57,59,40,49.53,49.53,49.72,49.53,50.69,33.06,48.59,48.51,48.22,47.71,47.72,47.46,46.73,45.57,42.82,42.47,42.52
BLDR,"Builders FirstSource, Inc.",Industrials,12357380096,0,-0.07,0.06,39.04,764492224,21.2,9.59,5.27,0.14,0.04,117.72,15653056512,4847938048,1601420032,593963008,11.65,-0.55,,,134.41,166,103,111.75,111.75,108.1,111.75,194.36,102.6,101.88,103.47,105.99,111.4,116.51,120.7,124.34,125.91,122.29,124.15,131.53
BLK,"BlackRock, Inc.",Financial Services,1.61366E+11,0.53,0.25,0.32,357.9,6554749952,26.74,21.18,38.9,0.12,0.27,24.32,22884999168,10908000256,9027000320,6096000000,49.1,-0.23,2,20.84,1328.64,1486,1170,1040.06,1040.06,1031.11,1040.06,1219.94,766.05,1028.18,1044.74,1053.95,1081.57,1111.85,1112.2,1115.39,1112.46,1066.04,1029.31,1024.98
BMY,Bristol-Myers Squibb Company,Healthcare,1.00261E+11,0.83,0.03,0.32,9.11,14718374912,16.58,7.01,2.97,0.34,0.13,274.41,48034000896,35135000576,19217000448,6039000064,7.03,0.81,5.04,2.48,52.77,68,36,49.25,49.25,49.02,49.25,61,42.38,47.32,47.5,47.07,45.91,45.29,45.43,45.76,45.85,46.07,48.25,49.64
BR,"Broadridge Financial Solutions, Inc.",Technology,26566025216,0.46,0.12,0.12,22.58,1151874944,29.07,24.34,7.83,0.38,0.13,132.06,7055600128,2211500032,1743699968,925100032,9.35,1.06,1.71,3.9,269.38,305,240,227.59,227.59,227.15,227.59,270.85,210.73,226.53,225.48,223.91,225.85,230.01,233.36,238.17,240.45,239.61,238.02,236.35
BRO,"Brown & Brown, Inc.",Financial Services,27467302912,0.18,0.34,0.24,36.75,1150249984,24.38,19.67,3.3,0.11,0.19,64.75,5350000128,2651000064,1768000000,989000000,4.09,-0.16,0.82,0.66,93.5,114,79,80.45,80.45,80.58,80.45,125.05,76.17,80.04,79.83,79.41,81.8,86.53,87.64,89.28,91.74,97.68,102.52,102.94
BSX,Boston Scientific Corporation,Healthcare,1.49667E+11,0,0.2,0.21,15.78,3065125120,53.99,36.19,1.87,0.12,0.14,50.97,19349000192,13221000192,5071000064,2791000064,2.79,0.6,,,126.48,140,99,100.96,100.96,100.92,100.96,109.5,85.98,99.95,100.5,100.19,100.41,99.05,99.88,100.93,101.81,102.34,101.63,100.35
BX,Blackstone Inc.,Financial Services,1.77825E+11,1.22,-0.2,0.45,10.72,,41.64,24.86,3.48,0.26,0.21,65.94,12791218176,12791218176,,2707886080,5.83,-0.21,3.24,4.69,180.69,215,164,144.92,144.92,143.44,144.92,194.94,113.15,140.54,141.79,142.62,146.69,155.82,159.28,161.13,162.69,154.92,151.46,155.82
BXP,"BXP, Inc.",Real Estate,12862147584,196,0.02,0.29,31.56,981971648,,38.88,-1.28,-0.02,-0.06,231.15,3425025024,2066868992,1903377024,-200404000,1.87,,3.85,2.8,79.8,91,65,,72.71,72.34,72.71,80.49,52.95,70.36,70.83,70.65,71.24,72.3,72.81,71.87,70.77,69.38,68.14,68.85
C,Citigroup Inc.,Financial Services,1.88692E+11,0.32,0.12,0.31,108.41,,14.4,14.26,7.12,0.07,0.19,,75383996416,75383996416,,13436999680,7.19,0.23,2.34,2.4,114.33,134,90,102.5,102.5,101.72,102.5,104.96,54.39,99.7,100.21,100.42,99.55,99.4,99.13,98.17,96.46,89.52,84.52,82.19
CAG,"Conagra Brands, Inc.",Consumer Defensive,8524226048,0.79,-0.06,0.12,18.64,1112912512,10.07,6.62,1.77,0.1,0.07,92.87,11450500096,2919399936,1967299968,850099968,2.69,-0.65,7.86,1.4,20.22,25,16,17.82,17.82,17.7,17.82,27.05,16.6,17.5,17.41,17.33,17.54,17.8,17.96,18.12,18.23,19.33,20.61,21.49
CAH,"Cardinal Health, Inc.",Healthcare,50641006592,0.31,0.22,0.01,-12.1,4700624896,32.15,24.67,6.63,,0.01,,2.3431E+11,8584999936,3544000000,1595000064,8.64,0.11,0.96,2.04,214.71,232,167,213.14,213.14,213.7,213.14,203.67,112.98,208.75,207.56,203.34,188.8,174.98,170.76,166.38,164.16,160.91,153,146.66
CARR,Carrier Global Corporation,Industrials,46261604352,0.54,-0.07,0.1,17.19,2499749888,33.98,17.88,1.6,0.1,0.18,83.16,22058000384,6034999808,3649999872,1379000064,3.04,0.01,1.66,0.9,72.69,90,60,54.36,54.36,54.03,54.36,80.78,53.68,52.85,54.02,55.17,56.05,57.14,58.03,59.56,62.78,65.47,64.86,65.62
