Symbol,Name,Market Cap,Country,Volume,Sector,Industry
EDTK,Skillful Craftsman Education Technology Limited Ordinary Share,18774000,China,782388,Consumer Services,Other Consumer Services
EDUC,Educational Development Corporation Common Stock,81454240,United States,7605,Consumer Services,Books
EEFT,Euronet Worldwide Inc. Common Stock,6041443429,United States,444785,Technology,EDP Services
EEIQ,Elite Education Group International Ltd. Common Stock,34178749,United States,46612,Consumer Services,Other Consumer Services
EFOI,Energy Focus Inc. Common Stock,12718935,United States,300616,Consumer Durables,Building Products
EFSC,Enterprise Financial Services Corporation Common Stock,1862972106,United States,316198,Finance,Major Banks
EFTR,eFFECTOR Therapeutics Inc. Common Stock,296732186,United States,119610,Health Care,Biotechnology: Pharmaceutical Preparations
EGAN,eGain Corporation Common Stock,321102309,United States,92807,Technology,Computer Software: Prepackaged Software
EGBN,Eagle Bancorp Inc. Common Stock,1932350818,United States,34546,Finance,Major Banks
EGLE,Eagle Bulk Shipping Inc. Common Stock,548531186,United States,307350,Transportation,Marine Transportation
EGRX,Eagle Pharmaceuticals Inc. Common Stock,648535003,United States,52598,Health Care,Biotechnology: Pharmaceutical Preparations
EH,EHang Holdings Limited ADS,1271542017,China,608448,Transportation,Air Freight/Delivery Services
EHTH,eHealth Inc. Common Stock,625662136,United States,760724,Finance,Specialty Insurers
EIGR,Eiger BioPharmaceuticals Inc. Common Stock,222881248,United States,147545,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EJFA,EJF Acquisition Corp. Class A Ordinary Share,357937500,United States,15507,Finance,Business Services
EJH,E-Home Household Service Holdings Limited Ordinary Shares,79252472,China,885654,Consumer Services,Other Consumer Services
EKSO,Ekso Bionics Holdings Inc. Common Stock,44449647,United States,64301,Health Care,Medical/Dental Instruments
ELDN,Eledon Pharmaceuticals Inc. Common Stock,74252230,United States,44663,Health Care,Biotechnology: Pharmaceutical Preparations
ELEV,Elevation Oncology Inc. Common stock,158863357,United States,950,Health Care,Biotechnology: Pharmaceutical Preparations
ELMS,Electric Last Mile Solutions Inc. Class A Common stock,1015786142,United States,407193,Capital Goods,Auto Manufacturing
ELOX,Eloxx Pharmaceuticals Inc. Common Stock,64689274,United States,947547,Health Care,Biotechnology: Pharmaceutical Preparations
ELSE,Electro-Sensors Inc. Common Stock,18794209,United States,34316,Capital Goods,Industrial Machinery/Components
ELTK,Eltek Ltd. Ordinary Shares,19948617,Israel,954,Technology,Electrical Products
ELYM,Eliem Therapeutics Inc Common Stock,411060812,United States,87301,Health Care,Biotechnology: Pharmaceutical Preparations
ELYS,Elys Game Technology Corp. Common Stock,59827705,Canada,438231,Consumer Services,Movies/Entertainment
EM,Smart Share Global Limited American Depositary Shares,618601461,China,85615,Consumer Services,Other Consumer Services
EMBK,Embark Technology Inc. Common Stock,3600920059,United States,729786,Technology,Computer Software: Prepackaged Software
EMCF,Emclaire Financial Corp Common Stock,80547875,United States,1468,Finance,Major Banks
EMKR,EMCORE Corporation Common Stock,292125588,United States,90464,Technology,Semiconductors
EML,Eastern Company (The) Common Stock,158071784,United States,13505,Capital Goods,Industrial Specialties
ENDP,Endo International plc Ordinary Shares,1413709538,Ireland,3065905,Health Care,Biotechnology: Pharmaceutical Preparations
ENG,ENGlobal Corporation Common Stock,72528606,United States,487560,Consumer Services,Military/Government/Technical
ENJY,Enjoy Technology Inc. Common Stock,554149177,United States,636575,Miscellaneous,Diversified Commercial Services
ENLV,Enlivex Therapeutics Ltd. Ordinary Shares,95458136,Israel,36286,Health Care,Biotechnology: Pharmaceutical Preparations
ENOB,Enochian Biosciences Inc. Common Stock,573371878,United States,107363,Health Care,Biotechnology: Pharmaceutical Preparations
ENPH,Enphase Energy Inc. Common Stock,34416165485,United States,1541762,Capital Goods,Electrical Products
ENSC,Ensysce Biosciences Inc. Common Stock,41234836,United States,210365,Health Care,Biotechnology: Pharmaceutical Preparations
ENSG,The Ensign Group Inc. Common Stock,4484480055,United States,202684,Health Care,Hospital/Nursing Management
ENTA,Enanta Pharmaceuticals Inc. Common Stock,1756468317,United States,204338,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ENTG,Entegris Inc. Common Stock,20537235508,United States,1208707,Technology,Semiconductors
ENTX,Entera Bio Ltd. Ordinary Shares,62178591,Israel,22944,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENVB,Enveric Biosciences Inc. Common Stock,47075448,United States,806655,Health Care,Biotechnology: Pharmaceutical Preparations
ENVX,Enovix Corporation Common Stock,5159124707,United States,697721,Capital Goods,Industrial Machinery/Components
EOLS,Evolus Inc. Common Stock,336796547,United States,319461,Consumer Durables,Specialty Chemicals
EOSE,Eos Energy Enterprises Inc. Class A Common Stock,520878748,United States,1283435,Technology,Electronic Components
EPAY,Bottomline Technologies Inc. Common Stock,2088821993,United States,172201,Technology,EDP Services
EPZM,Epizyme Inc. Common Stock,376099980,United States,687304,Health Care,Biotechnology: Pharmaceutical Preparations
EQ,Equillium Inc. Common Stock,158416940,United States,20273,Health Care,Biotechnology: Pharmaceutical Preparations
EQBK,Equity Bancshares Inc. Class A Common Stock,583214806,United States,29458,Finance,Finance: Consumer Services
EQIX,Equinix Inc. Common Stock REIT,71815960708,United States,325470,Consumer Services,Real Estate Investment Trusts
EQOS,EQONEX LIMITED Ordinary Shares,172200595,Singapore,312793,Miscellaneous,Business Services
ERAS,Erasca Inc. Common Stock,1995781173,United States,366974,Health Care,Biotechnology: Pharmaceutical Preparations
ERIC,Ericsson American Depositary Shares,34765200000,Sweden,7677791,Technology,Computer Software: Prepackaged Software
ERIE,Erie Indemnity Company Class A Common Stock,11087543611,United States,126236,Finance,Specialty Insurers
ERII,Energy Recovery Inc. Common Stock,1277870644,United States,202037,Technology,Industrial Machinery/Components
ERYP,Erytech Pharma S.A. American Depositary Shares,67848083,France,12503,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ESBK,Elmira Savings Bank Elmira NY Common Stock,80358922,United States,5235,Finance,Major Banks
ESCA,Escalade Incorporated Common Stock,264256014,United States,10319,Consumer Non-Durables,Recreational Products/Toys
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),141630550,Greece,107477,Transportation,Marine Transportation
ESGR,Enstar Group Limited Ordinary Shares,4296942513,Bermuda,22157,Finance,Property-Casualty Insurers
ESLT,Elbit Systems Ltd. Ordinary Shares,6709246086,Israel,38680,Capital Goods,Military/Government/Technical
ESPR,Esperion Therapeutics Inc. Common Stock,223604875,United States,6989615,Health Care,Biotechnology: Pharmaceutical Preparations
ESQ,Esquire Financial Holdings Inc. Common Stock,275054665,United States,8549,Finance,Commercial Banks
ESSA,ESSA Bancorp Inc. Common Stock,181610650,United States,1304,Finance,Banks
ESSC,East Stone Acquisition Corporation Ordinary Shares,181106805,United States,2443,Technology,Computer Software: Programming Data Processing
ESTA,Establishment Labs Holdings Inc. Common Shares,1602484809,Costa Rica,154236,Health Care,Industrial Specialties
ESXB,Community Bankers Trust Corporation Common Stock (VA),275415910,United States,234576,Finance,Major Banks
ETNB,89bio Inc. Common Stock,303016247,United States,27275,Health Care,Biotechnology: Pharmaceutical Preparations
ETON,Eton Pharmaceuticals Inc. Common Stock,106298676,United States,265231,Health Care,Biotechnology: Pharmaceutical Preparations
ETSY,Etsy Inc. Common Stock,37642470998,United States,3252824,Consumer Services,Catalog/Specialty Distribution
ETTX,Entasis Therapeutics Holdings Inc. Common Stock,131956232,United States,812162,Health Care,Biotechnology: Pharmaceutical Preparations
EUCR,Eucrates Biomedical Acquisition Corp. Ordinary Shares,131899425,United States,216,Finance,Business Services
EUSG,European Sustainable Growth Acquisition Corp. Class A Ordinary Shares,181188938,United States,4282,Finance,Business Services
EVAX,Evaxion Biotech A/S American Depositary Share,117327527,Denmark,578290,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EVBG,Everbridge Inc. Common Stock,4376803117,United States,946870,Technology,Retail: Computer Software & Peripheral Equipment
EVCM,EverCommerce Inc. Common Stock,3389521314,United States,184577,Technology,EDP Services
EVER,EverQuote Inc. Class A Common Stock,418609058,United States,236530,Technology,EDP Services
EVFM,Evofem Biosciences Inc. Common Stock,73806782,United States,1715806,Health Care,Biotechnology: Pharmaceutical Preparations
EVGN,Evogene Ltd Ordinary Shares,83152136,Israel,349935,Basic Industries,Agricultural Chemicals
EVGO,EVgo Inc. Class A Common Stock,35949291180,United States,2603495,Consumer Services,Catalog/Specialty Distribution
EVK,Ever-Glory International Group Inc. Common Stock,44881305,China,109976,Consumer Non-Durables,Apparel
EVLO,Evelo Biosciences Inc. Common Stock,471516741,United States,92637,Consumer Durables,Specialty Chemicals
EVLV,Evolv Technologies Holdings Inc. Class A Common Stock,857460392,United States,312944,Miscellaneous,Diversified Manufacture
EVO,Evotec SE American Depositary Shares,8114861815,Germany,12962,Health Care,Biotechnology: Pharmaceutical Preparations
EVOK,Evoke Pharma Inc. Common Stock,24009044,United States,1624828,Health Care,Biotechnology: Pharmaceutical Preparations
EVOL,Evolving Systems Inc. Common Stock,29786247,United States,87000,Technology,EDP Services
EVOP,EVO Payments Inc. Class A Common Stock,909116064,United States,370762,Technology,EDP Services
EWBC,East West Bancorp Inc. Common Stock,11769807304,United States,679998,Finance,Commercial Banks
EWCZ,European Wax Center Inc. Class A Common Stock,937314860,United States,158149,Consumer Non-Durables,Package Goods/Cosmetics
EWTX,Edgewise Therapeutics Inc. Common Stock,1067254936,United States,297776,Health Care,Biotechnology: Pharmaceutical Preparations
EXAS,Exact Sciences Corporation Common Stock,15179564942,United States,1885775,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXC,Exelon Corporation Common Stock,53328102569,United States,2939749,Public Utilities,Power Generation
EXEL,Exelixis Inc. Common Stock,5530625853,United States,1432488,Health Care,Biotechnology: Commercial Physical & Biological Resarch
EXFY,Expensify Inc. Class A Common Stock,3870471567,United States,289837,Technology,Computer Software: Prepackaged Software
EXLS,ExlService Holdings Inc. Common Stock,4455263567,United States,91430,Technology,Retail: Computer Software & Peripheral Equipment
EXPD,Expeditors International of Washington Inc. Common Stock,21502427126,United States,888361,Transportation,Oil Refining/Marketing
EXPE,Expedia Group Inc. Common Stock,26750689213,United States,1196181,Transportation,Other Consumer Services
EXPI,eXp World Holdings Inc. Common Stock,5565098356,United States,541580,Finance,Real Estate
EXPO,Exponent Inc. Common Stock,6371152968,United States,95729,Consumer Services,Professional Services
EXTR,Extreme Networks Inc. Common Stock,1763760052,United States,1173871,Capital Goods,Telecommunications Equipment
EYE,National Vision Holdings Inc. Common Stock,4076327115,United States,1425582,Health Care,Ophthalmic Goods
EYEN,Eyenovia Inc. Common Stock,106211471,United States,248835,Health Care,Biotechnology: Pharmaceutical Preparations
EYES,Second Sight Medical Products Inc. Common Stock,83547453,United States,806280,Health Care,Industrial Specialties
EYPT,EyePoint Pharmaceuticals Inc. Common Stock,548162142,United States,419444,Health Care,Biotechnology: Pharmaceutical Preparations
EZFL,EzFill Holdings Inc. Common Stock,64760074,United States,168206,Technology,EDP Services
EZGO,EZGO Technologies Ltd. Ordinary Shares,32836375,China,90379,Consumer Non-Durables,Motor Vehicles
EZPW,EZCORP Inc. Class A Non Voting Common Stock,443968343,United States,223071,Miscellaneous,Diversified Commercial Services
FA,First Advantage Corporation Common Stock,2823602654,United States,797523,Miscellaneous,Business Services
FAMI,Farmmi Inc. Ordinary Shares,5628006,China,36091159,Consumer Non-Durables,Packaged Foods
FANG,Diamondback Energy Inc. Commmon Stock,20690133496,United States,2161743,Energy,Oil & Gas Production
FANH,Fanhua Inc. American Depositary Shares,744743949,China,117472,Finance,Specialty Insurers
FARM,Farmer Brothers Company Common Stock,128376761,United States,46238,Consumer Non-Durables,Specialty Foods
FARO,FARO Technologies Inc. Common Stock,1376568558,United States,34782,Capital Goods,Industrial Machinery/Components
FAT,FAT Brands Inc. Class A Common Stock,184899307,United States,15200,Consumer Services,Restaurants
FATBB,FAT Brands Inc. Class B Common Stock,224625683,United States,14376,Consumer Services,Restaurants
FATE,Fate Therapeutics Inc. Common Stock,5196716326,United States,728762,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FB,Meta Platforms Inc. Class A Common Stock,9.62E+11,United States,13551095,Technology,Internet and Information Services
FBIO,Fortress Biotech Inc. Common Stock,296895600,United States,235647,Health Care,Biotechnology: Pharmaceutical Preparations
FBIZ,First Business Financial Services Inc. Common Stock,245667867,United States,19541,Finance,Major Banks
FBMS,First Bancshares Inc.,882617581,United States,27036,Finance,Major Banks
FBNC,First Bancorp Common Stock,1712487093,United States,81156,Finance,Major Banks
FBRX,Forte Biosciences Inc. Common Stock,41607851,United States,377044,Health Care,Biotechnology: Pharmaceutical Preparations
FCAP,First Capital Inc. Common Stock,138666139,United States,502,Finance,Savings Institutions
FCBC,First Community Bankshares Inc. (VA) Common Stock,613465013,United States,18454,Finance,Major Banks
FCCO,First Community Corporation Common Stock,159865285,United States,5130,Finance,Major Banks
FCCY,1st Constitution Bancorp (NJ) Common Stock,260828576,United States,22350,Finance,Savings Institutions
FCEL,FuelCell Energy Inc. Common Stock,3493828704,United States,16122588,Public Utilities,Electric Utilities: Central
FCFS,FirstCash Inc. Common Stock,2686396890,United States,228248,Miscellaneous,Diversified Commercial Services
FCNCA,First Citizens BancShares Inc. Class A Common Stock,8653062843,United States,41544,Finance,Major Banks
FCRD,First Eagle Alternative Capital BDC Inc. Common Stock,144223949,United States,46381,Finance,Finance/Investors Services
FCUV,Focus Universal Inc. Common Stock,397557020,United States,73856,Capital Goods,Industrial Machinery/Components
FDBC,Fidelity D & D Bancorp Inc. Common Stock,303681504,United States,3158,Finance,Major Banks
FDMT,4D Molecular Therapeutics Inc. Common Stock,722801927,United States,303639,Health Care,Biotechnology: Pharmaceutical Preparations
FDUS,Fidus Investment Corporation Common Stock,447448794,United States,58309,Finance,Finance/Investors Services
FEIM,Frequency Electronics Inc. Common Stock,89870537,United States,3490,Capital Goods,Electrical Products
FELE,Franklin Electric Co. Inc. Common Stock,4424385500,United States,79186,Consumer Durables,Metal Fabrications
FEMY,Femasys Inc. Common Stock,58880603,United States,2351672,Health Care,Medical/Dental Instruments
FFBC,First Financial Bancorp. Common Stock,2363435105,United States,126402,Finance,Major Banks
FFBW,FFBW Inc. Common Stock (MD),83198632,United States,436,Finance,Major Banks
FFHL,Fuwei Films (Holdings) Co. Ltd. Ordinary Shares,29408862,China,6772,Capital Goods,Specialty Chemicals
FFIC,Flushing Financial Corporation Common Stock,759235826,United States,83366,Finance,Major Banks
